game_id;title;genre_id;genres
1;Until Dawn;1;survival horror
1;Until Dawn;7;interactive film
1;Until Dawn;9;przygodowa
1;Until Dawn;10;akcja
2;Resident Evil VII: Biohazard;1;survival horror
2;Resident Evil VII: Biohazard;9;przygodowa
2;Resident Evil VII: Biohazard;10;akcja
2;Resident Evil VII: Biohazard;11;strzelanka
3;The Last of Us;14;postapokalipsa
3;The Last of Us;13;skradanka
3;The Last of Us;11;strzelanka
3;The Last of Us;9;przygodowa
3;The Last of Us;8;fabularna
3;The Last of Us;5;dramat
3;The Last of Us;1;survival horror
4;Detroit: Become Human;9;przygodowa
4;Detroit: Become Human;10;akcja
4;Detroit: Become Human;7;interactive film
5;Outlast;1;survival horror
5;Outlast;9;przygodowa
5;Outlast;10;akcja
5;Outlast;13;skradanka
5;Outlast;3;gore
6;Outlast: Whistleblower;1;survival horror
6;Outlast: Whistleblower;9;przygodowa
6;Outlast: Whistleblower;10;akcja
6;Outlast: Whistleblower;3;gore
7;Outlast 2;1;survival horror
7;Outlast 2;9;przygodowa
7;Outlast 2;10;akcja
7;Outlast 2;3;gore
8;Silent Hill: Homecoming;1;survival horror
8;Silent Hill: Homecoming;9;przygodowa
8;Silent Hill: Homecoming;12;bijatyka
8;Silent Hill: Homecoming;11;strzelanka
9;Silent Hill: Downpour;1;survival horror
9;Silent Hill: Downpour;9;przygodowa
9;Silent Hill: Downpour;12;bijatyka
9;Silent Hill: Downpour;11;strzelanka
10;Silent Hill 4: The Room;1;survival horror
10;Silent Hill 4: The Room;9;przygodowa
10;Silent Hill 4: The Room;12;bijatyka
10;Silent Hill 4: The Room;11;strzelanka
11;Silent Hill 3;1;survival horror
11;Silent Hill 3;9;przygodowa
11;Silent Hill 3;10;akcja
12;Silent Hill 2 (2001);1;survival horror
12;Silent Hill 2 (2001);9;przygodowa
12;Silent Hill 2 (2001);10;akcja
13;Silent Hill: Shattered Memories;1;survival horror
13;Silent Hill: Shattered Memories;9;przygodowa
13;Silent Hill: Shattered Memories;10;akcja
14;Resident Evil Vilage;1;survival horror
14;Resident Evil Vilage;11; strzelanka
